
3  50.05374200  008.63709200    491 11420 130    0.0 FFM  FRANKFURT VORTAC
3  50.25046100  008.16251700   1343 11335 130    0.0 TAU  TAUNUS VORTAC
3  49.92110300  009.03981100    532 11535 130    0.0 CHA  CHARLIE VOR
4  50.04621700  008.59154700    364 11055  17      69.614 IFCE EDDF 07C ILS-cat-III
4  50.04636890  008.53576845    357 11175  17      69.586 IFNE EDDF 07L ILS-cat-III
4  50.04123600  008.59149200    362 11095  17      69.619 IFSE EDDF 07R ILS-cat-III
4  50.03170000  008.53079400    329 11155  17     249.568 IFCW EDDF 25C ILS-cat-III
4  50.02672200  008.53075000    328 11115  17     249.570 IFSW EDDF 25L ILS-cat-III
4  50.03659583  008.49488084    357 11135  17     249.586 IFNW EDDF 25R ILS-cat-III
4  50.04681100  008.30976600    461 10850  17     253.000 ITOU ETOU 25  ILS-cat-I
6  50.03256700  008.53984700    329 11055  15  300069.590 IFCE EDDF 07C GS
6  50.03880200  008.50044060    324 11175  15  300069.586 IFNE EDDF 07L GS
6  50.02749200  008.53938900    318 11095  15  300069.594 IFSE EDDF 07R GS
6  50.04290300  008.58311400    364 11155  15  300249.568 IFCW EDDF 25C GS
6  50.03799200  008.58273300    348 11115  15  300249.594 IFSW EDDF 25L GS
6  50.04570516  008.52932127    342 11135  15  300249.586 IFNW EDDF 25R GS
6  50.05092400  008.33574800    459 10850  6   300253.000 ITOU ETOU 25  GS
12  50.05374200  008.63709200    491 11420 130    0.0 FFM  FRANKFURT VORTAC
12  50.25046100  008.16251700   1343 11335 130    0.0 TAU  TAUNUS VORTAC
99
